=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
  pid  name                                                                create_time            cores  status      memory_usage    read_bytes    write_bytes    n_threads  username                      path
=====  ==================================================================  ===================  =======  ========  ==============  ============  =============  ===========  ============================  ===============================================================================================================
 8944  postgres.exe                                                        2020-01-24 18:10:04       12  running           270336         36085         337962            2  NT AUTHORITY\SYSTEM           C:\Program Files\AccessData\PostgreSQL\9.6\bin\postgres.exe
 8964  SearchIndexer.exe                                                   2020-01-24 18:10:04       12  running         67543040     173281654      160528268           34  NT AUTHORITY\SYSTEM           C:\Windows\System32\SearchIndexer.exe
 9288  jhi_service.exe                                                     2020-01-24 18:12:05       12  running           286720             0              0            2  NT AUTHORITY\SYSTEM           C:\Program Files (x86)\Intel\Intel(R) Management Engine Components\DAL\jhi_service.exe
 9420  svchost.exe                                                         2020-01-24 18:10:05       12  running          2301952       1128103         170968            4  NT AUTHORITY\SYSTEM           C:\Windows\System32\svchost.exe
 9452  browser_broker.exe                                                  2020-01-28 11:20:29       12  running           163840          5393              0            2  LAPTOP-G1N7SMFF\yassi         C:\Windows\System32\browser_broker.exe
 9600  ApplicationFrameHost.exe                                            2020-01-28 10:25:29       12  running         11706368         23203              8           16  LAPTOP-G1N7SMFF\yassi         C:\Windows\System32\ApplicationFrameHost.exe
 9660  svchost.exe                                                         2020-01-24 18:10:05       12  running          2895872       1232442         129594            8  NT AUTHORITY\LOCAL SERVICE    C:\Windows\System32\svchost.exe
 9836  ctfmon.exe                                                          2020-01-28 10:25:04       12  running          9777152         44264              0           12  LAPTOP-G1N7SMFF\yassi         C:\Windows\System32\ctfmon.exe
10044  dwm.exe                                                             2020-01-27 22:26:22       12  running         77746176        120411              0           13  Window Manager\DWM-5          C:\Windows\System32\dwm.exe
10052  WmiPrvSE.exe                                                        2020-01-24 18:10:05       12  running          3645440             0              0            8  NT AUTHORITY\SYSTEM           C:\Windows\System32\wbem\WmiPrvSE.exe
10176  IAStorDataMgrSvc.exe                                                2020-01-24 18:12:05       12  running         33153024        564548              0            7  NT AUTHORITY\SYSTEM           C:\Program Files\Intel\Intel(R) Rapid Storage Technology\IAStorDataMgrSvc.exe
10312  SecurityHealthService.exe                                           2020-01-24 18:10:15       12  running          2101248        242000           4096           15  NT AUTHORITY\SYSTEM           C:\Windows\System32\SecurityHealthService.exe
10508  NisSrv.exe                                                          2020-01-24 18:10:06       12  running          7852032             0              0           10  NT AUTHORITY\LOCAL SERVICE    C:\ProgramData\Microsoft\Windows Defender\Platform\4.18.1911.3-0\NisSrv.exe
10588  RAVBg64.exe                                                         2020-01-28 10:25:34       12  running           815104             0              0            7  LAPTOP-G1N7SMFF\yassi         C:\Program Files\Realtek\Audio\HDA\RAVBg64.exe
